axisValue,mean,errorLower,errorUpper,nGroups
0.000368,0.107001,0.043,0.041,1
0.001104,0.627001,0.103,0.104,3
0.001472,0.824001,0.109,0.0990000000000001,4
0.00184,0.626001,0.104,0.103,5
0.002944,0.137001,0.048,0.047,8
0.00736,0.321001,0.069,0.076,20
0.008832,0.366001,0.078,0.078,24
0.00368,0.430001,0.056,0.056,10
0.004416,0.384001,0.054,0.051,12
0.004784,0.235001,0.039,0.04,13
0.005152,0.206001,0.039,0.035,14
0.005888,0.287001,0.048,0.041,16
0.008096,0.275001,0.047,0.04,22
0.008464,0.355001,0.049,0.051,23
0.009568,0.315001,0.05,0.044,26
