t,P00,P11,P01,P10
0.0,0.0,1.0,0.0,0.0
0.0001,0.010529083328328576,0.988184329972137,0.0006432933026875185,0.0006432933968466645
0.0002,0.04452396770987851,0.9529022291222979,0.001286901286706752,0.0012869018811169349
0.00030000000000000003,0.10018715121558093,0.8957484324470766,0.002032207462315965,0.0020322088750266247
0.0004,0.17456749349592593,0.8194649482388403,0.002983778090457329,0.0029837801747765306
0.0005,0.263787394930405,0.7277247934203444,0.004243904882232976,0.004243906767017769
0.0006000000000000001,0.36326482625471174,0.6249723060263084,0.0058814338367921045,0.005881433882187701
0.0007,0.467966072274954,0.5162214852115354,0.007906223246909035,0.007906219266601398
0.0008,0.5726716714719806,0.40681787127362684,0.010255233761383311,0.010255223493009339
0.0009000000000000001,0.6722392863477814,0.30217317731272914,0.012793777301898894,0.012793759037590427
0.001,0.7618499116103554,0.20748570952750367,0.015332202812915986,0.015332176049224999
0.0011,0.8372272425894144,0.12746283126884383,0.01765498009868154,0.017654946043060445
0.0012000000000000001,0.8948234634198191,0.06606362683009397,0.01955647398171304,0.019556435768374125
0.0013000000000000002,0.9319675627444662,0.02627997323068584,0.020876250752255153,0.020876213272592703
0.0014,0.9469741681458536,0.00997220007746684,0.02152683122266713,0.02152680055401226
0.0015,0.9392117353422051,0.017771536390613046,0.021508372880879173,0.021508355386302674
0.0016,0.9091289585060122,0.049056081608859124,0.020907479316956898,0.020907480568171596
0.0017000000000000001,0.8582379335525067,0.10200082828432093,0.0198806072181816,0.01988063094499077
0.0018000000000000002,0.7890524588122457,0.17369616056800505,0.01862566666983908,0.018625713949910177
0.0019,0.7049804058309374,0.260324070400525,0.01734772745053906,0.017347796317998487
0.002,0.6101706682736675,0.3573776974720255,0.016225774339316625,0.016225859914990308
0.0021000000000000003,0.5093178599128897,0.45990803658808976,0.015387004177342673,0.015387099321677969
0.0022,0.4074314437472802,0.5627817518624428,0.014893354003706444,0.014893450386570481
0.0023,0.3095798321208091,0.6609356608698502,0.014742208808538325,0.014742298200802398
0.0024000000000000002,0.22062353892197645,0.7496160489209658,0.014880168308593691,0.014880243848463983
0.0025,0.1449540022733091,0.8245938977456202,0.015226021397682046,0.015226078583388711
0.0026000000000000003,0.08625566479333914,0.8823497708992267,0.015697263548028008,0.01569730075940638
0.0027,0.04730797894002603,0.9202240746416764,0.016233963986274823,0.016233982432022884
0.0028,0.029841195236353625,0.9365295481445288,0.016814626756107145,0.016814629863010525
0.0029000000000000002,0.034455414140783354,0.9306232424878186,0.017460675496171713,0.017460667875226328
0.003,0.06060702597432832,0.9029352594499862,0.0182288641789325,0.01822885039675303
0.0031000000000000003,0.10666106829075966,0.8549515986302264,0.01919367482452442,0.019193658254489782
0.0032,0.1700029484857268,0.7891490634126419,0.02042400304320883,0.02042398505842266
0.0033,0.24719903533497464,0.7088816353885563,0.021959674788252382,0.021959654488216716
0.0034000000000000002,0.33419320375653183,0.6182201563795424,0.023793332657967625,0.023793307205958254
0.0035,0.42652561660313604,0.5217504087744601,0.02586200455509704,0.025861970067306853
0.0036000000000000003,0.5195606531552097,0.4243383668838743,0.028050513580522744,0.028050466380393355
0.0037,0.6087125318089204,0.3308749441704661,0.030206293030660237,0.03020623098995344
0.0038,0.6896592952084872,0.24601536865761617,0.032162706239505304,0.03216262989439133
0.0039000000000000003,0.7585379105842742,0.17392984016983054,0.03376616804088661,0.033766081205008826
0.004,0.8121148909291309,0.11808200467296195,0.034901597352118355,0.0349015070457887
0.0041,0.8479278709961948,0.0810499327440556,0.03551114030203973,0.03551105595770992
0.004200000000000001,0.8643940131491097,0.06440090612232763,0.03560257433371473,0.03560250639484796
0.0043,0.860881211424482,0.06862684210977125,0.035245994148656125,0.03524595231709052
0.0044,0.8377381749759797,0.09314222714159476,0.03455980320267227,0.03455979467975335
0.0045000000000000005,0.7962799959233434,0.13634164232752308,0.03368916683193757,0.033689194917196005
0.0046,0.7387270500670559,0.1957099258546116,0.032781480362627506,0.032781543715704874
0.0047,0.6680971806010534,0.26797513633832387,0.03196379515764507,0.03196388790297782
0.0048000000000000004,0.5880539967640009,0.34929292952517854,0.03132648051339703,0.0313265931974234
0.0049,0.5027174897514647,0.4354506665478397,0.030915861234065787,0.030915982466629886
0.005,0.41644657434980004,0.5220802612842949,0.030736522951446882,0.030736641414458112
0.0051,0.33360608171321304,0.6048700514552737,0.03076188020590787,0.030761986625605284
0.005200000000000001,0.2583326656239569,0.679767425178342,0.030949910260862086,0.03094999893683889
0.0053,0.19431468467155694,0.7431652088143258,0.03126001847359016,0.03126008804052725
0.0054,0.14460023589829615,0.7920657270743213,0.03166699188727571,0.031667045140106966
0.0055000000000000005,0.11144522811099303,0.8242169662467163,0.03216888141705594,0.032168924225234985
0.0056,0.09621000071843525,0.8382155574258635,0.0327872011615482,0.03278724069415323
0.0057,0.09930898018272075,0.8335716153184212,0.03355968093088667,0.033559723567971544
0.0058000000000000005,0.12021375357208161,0.8107311225963555,0.03452753722361503,0.03452758660794793
0.0059,0.15750622924522106,0.7710527920749353,0.03572046150640014,0.03572051717344343
0.006,0.20897563250189588,0.7167382964840033,0.03714300705000805,0.03714306396409293
0.0061,0.2717511578382745,0.6507173865211308,0.03876570324954561,0.03876575239104927
0.006200000000000001,0.3424611822167528,0.5764925043577331,0.040523141748269015,0.040523171677244764
0.0063,0.41740988218660874,0.4979506886674387,0.042319715017358,0.04231971412859463
0.0064,0.4927625876914546,0.4191533962699452,0.0440420285043596,0.044041987534240566
0.006500000000000001,0.5647320125838378,0.3441169926188591,0.04557554026071771,0.04557545453658525
0.0066,0.629758242676267,0.27659764606854964,0.046822120148372386,0.04682199110681086
0.0067,0.6846759046105403,0.21989407461622804,0.04771509256692079,0.047714928206310965
0.0068000000000000005,0.7268623606946736,0.17668016967406558,0.0482288277487423,0.048228641882518686
0.006900000000000001,0.7543608797132627,0.14887687566561617,0.04838121710218846,0.04838102751893243
0.007,0.7659730782395815,0.13756951609868454,0.04822878992765308,0.048228615734081035
0.0071,0.7613155160124598,0.14297331584368675,0.04785565467257663,0.047855513471276784
0.007200000000000001,0.7408360925434968,0.16444618119593726,0.04735891051101062,0.04735881574955534
0.0073,0.7057881287131521,0.20054550551174985,0.0468332033685284,0.04683316240656995
0.0074,0.6581615233221829,0.24912286444601722,0.046357799415509646,0.04635781281629031
0.007500000000000001,0.6005738367078028,0.30744987097926946,0.04598811520315455,0.04598817710977313
0.0076,0.5361263530329072,0.3723671338917304,0.0457532067406146,0.045753306334747626
0.0077,0.46823341527657353,0.44044870807699243,0.045658876458618394,0.045659000187815685
0.0078000000000000005,0.4004352152278265,0.5081743467223078,0.04569515197726502,0.04569528607260078
0.0079,0.33620562733580006,0.5721023826488053,0.04584592872358133,0.04584606129181317
0.008,0.27876702781518276,0.6290362920345656,0.04609827883682791,0.04609840131342372
0.0081,0.23092335534233185,0.6761783580432922,0.04644908930238538,0.04644919731199065
0.0082,0.19492083292459905,0.7112638838296239,0.046907595303470086,0.04690768794230704
0.0083,0.17234359121103512,0.7326698349813402,0.04749324753103373,0.047493326276591113
0.008400000000000001,0.16404851256459319,0.7394922717841961,0.04822957439817455,0.04822964125303618
0.0085,0.17014082368201683,0.7315878672590015,0.04913562655716263,0.049135682501819274
0.0086,0.18998928469249257,0.7095761920688336,0.05021723993857463,0.050217283300099336
0.008700000000000001,0.22227805799734104,0.6748018001836428,0.0514600548112039,0.051460087007812266
0.0088,0.2650902326363135,0.6292568541111565,0.05282645097628575,0.05282646227624452
0.0089,0.31601757062246666,0.5754684893835134,0.05425697924917487,0.054256960744845185
0.009000000000000001,0.37229017554260224,0.5163568436467955,0.05567651866558757,0.05567646214501485
0.0091,0.43091984550066215,0.45507242521801033,0.05700391364228997,0.057003815639037385
0.0092,0.48885065559680313,0.39482267372168783,0.058163405381077546,0.05816326530043142
0.009300000000000001,0.5431105831473662,0.3386984933693702,0.059095549670176446,0.05909537381308711
0.0094,0.5909577688386918,0.2895111584809488,0.059765635821154656,0.05976543685920467
