value,00,01,10,11,trials
0.1,1,0,0,51,52
0.866666666666667,51,1,1,23,76
1.63333333333333,67,4,2,6,79
2.4,13,1,2,48,64
3.16666666666667,9,1,3,49,62
3.93333333333333,50,2,1,8,61
4.7,44,2,1,14,61
5.46666666666667,11,0,2,47,60
6.23333333333333,37,2,2,39,80
7,55,1,2,9,67
1.429,77,4,1,3,85
7.778,22,3,2,22,49
8.55575,10,1,0,37,48
9.3335,44,3,1,12,60
10.11125,31,1,4,13,49
10.889,6,4,5,35,50
11.66675,25,2,6,21,54
12.4445,39,2,7,6,54
13.22225,31,1,6,11,49
14,16,2,5,24,47
15.4,22,3,5,6,36
16.1,8,1,2,13,24
16.8,13,2,3,15,33
17.5,14,6,3,6,29
18.2,38,10,11,26,85
18.9,40,9,12,28,89
19.6,31,4,13,42,90
20.3,32,7,13,37,89
21,51,10,15,27,103
