axisValue,mean,errorLower,errorUpper
0.1,0.011001,0.01,0.016
0.866666666666667,0.567001,0.0980000000000001,0.102
1.63333333333333,0.745001,0.114,0.113
2.4,0.145001,0.045,0.043
3.16666666666667,0.100001,0.035,0.037
3.93333333333333,0.556001,0.1,0.0980000000000001
4.7,0.489001,0.092,0.0900000000000001
5.46666666666667,0.122001,0.038,0.042
6.23333333333333,0.411001,0.075,0.087
7,0.612001,0.104,0.106
1.429,0.950001,0.111,0.047
7.778,0.423001,0.103,0.117
8.55575,0.192001,0.06,0.077
9.3335,0.846001,0.124,0.114
10.11125,0.596001,0.132,0.138
10.889,0.115001,0.047,0.057
11.66675,0.481001,0.115,0.124
12.4445,0.750001,0.132,0.14
13.22225,0.596001,0.132,0.138
14,0.308001,0.087,0.094
15.4,0.733001,0.152,0.17
16.1,0.267001,0.1,0.125
16.8,0.433001,0.134,0.165
17.5,0.467001,0.139,0.172
18.2,0.339001,0.064,0.065
18.9,0.357001,0.065,0.068
19.6,0.277001,0.058,0.056
20.3,0.286001,0.058,0.058
21,0.455001,0.073,0.0820000000000001
